iso_code,location,continent,year,total_vaccinations,fully_vaccinated_per_hundred,new_cases,new_deaths,population,cases_per_million,deaths_per_million,health_spending_pct_gdp,region,income_group
IRL,Ireland,Europe,2021,9859848.0,77.33,610917.0,3824.0,5023108,121621.31493091528,761.2816606770151,6.59614468,Europe & Central Asia,High income
IMN,Isle of Man,Europe,2021,177816.0,77.43,13536.0,32.0,84534,160124.920150472,378.5459105212104,,Europe & Central Asia,High income
ISR,Israel,Asia,2021,16786452.0,62.89,965663.0,5009.0,9449000,102197.37538363847,530.109006244047,7.67129993,Middle East & North Africa,High income
ITA,Italy,Europe,2021,111400252.0,75.73,3583249.0,64903.0,59037472,60694.48569884564,1099.3526281071113,9.34389782,Europe & Central Asia,High income
JAM,Jamaica,North America,2021,1208785.0,20.05,79671.0,2168.0,2827382,28178.364296016596,766.7870843062592,7.18521214,Latin America & Caribbean,Upper middle income
JPN,Japan,Asia,2021,201971478.0,80.44,1514477.0,15174.0,123951696,12218.283806298221,122.41865573182638,11.18996906,East Asia & Pacific,High income
JEY,Jersey,Europe,2021,209935.0,69.49,14829.0,48.0,110796,133840.57186180007,433.2286364128669,,,
JOR,Jordan,Asia,2021,8265793.0,34.86,765065.0,8715.0,11285875,67789.60426196462,772.2041932947157,7.20182657,Middle East & North Africa,Lower middle income
KAZ,Kazakhstan,Asia,2021,17501273.0,43.9,872722.0,15516.0,19397998,44990.31291785884,799.8763583747148,3.92458963,Europe & Central Asia,Upper middle income
KEN,Kenya,Africa,2021,10002184.0,7.69,185515.0,3704.0,54027484,3433.7153290351257,68.55769926284187,4.56525421,Sub-Saharan Africa,Lower middle income
KIR,Kiribati,Oceania,2021,82167.0,17.28,0.0,0.0,131237,0.0,0.0,11.65399933,East Asia & Pacific,Lower middle income
KWT,Kuwait,Asia,2021,6942690.0,75.35,265462.0,1539.0,4268886,62185.31017225571,360.5156005571477,5.50187826,Middle East & North Africa,High income
KGZ,Kyrgyzstan,Asia,2021,2255224.0,14.95,68891.0,860.0,6630621,10389.826231962286,129.7012753405752,5.35275412,Europe & Central Asia,Lower middle income
LAO,Laos,Asia,2021,5830021.0,41.16,106190.0,325.0,7529477,14103.237183671588,43.163688527104874,2.74392009,East Asia & Pacific,Lower middle income
LVA,Latvia,Europe,2021,2555555.0,68.22,235099.0,4183.0,1850654,127035.63172802696,2260.282040835294,9.10995388,Europe & Central Asia,High income
LBN,Lebanon,Asia,2021,4379487.0,33.36,541787.0,7648.0,5489744,98690.75862189566,1393.1432868272182,4.85634661,Middle East & North Africa,Lower middle income
LSO,Lesotho,Africa,2021,857925.0,31.55,25605.0,601.0,2305826,11104.48056358112,260.6441249252979,10.81370068,Sub-Saharan Africa,Lower middle income
LBR,Liberia,Africa,2021,880313.0,14.24,4407.0,198.0,5302690,831.0876177939876,37.33953898870196,13.8384428,Sub-Saharan Africa,Low income
LBY,Libya,Africa,2021,2679874.0,12.12,287010.0,4226.0,6812344,42130.87301522061,620.344480548839,6.21384287,Middle East & North Africa,Upper middle income
LIE,Liechtenstein,Europe,2021,63015.0,,3971.0,30.0,39355,100902.04548342015,762.291957819845,,Europe & Central Asia,High income
LTU,Lithuania,Europe,2021,4131857.0,66.62,381787.0,5685.0,2750058,138828.70833996954,2067.229127531128,7.75970221,Europe & Central Asia,High income
LUX,Luxembourg,Europe,2021,1076484.0,5.85,57505.0,350.0,647601,88796.95985645482,540.4562377142715,5.66065645,Europe & Central Asia,High income
MAC,Macao,Asia,2021,972604.0,66.4,,,695180,,,,East Asia & Pacific,High income
MDG,Madagascar,Africa,2021,742069.0,1.83,32565.0,766.0,29611718,1099.7335581812579,25.868137741957426,3.5045228,Sub-Saharan Africa,Low income
MWI,Malawi,Africa,2021,1800908.0,3.46,64339.0,2140.0,20405318,3153.0505920074365,104.87462140996774,7.62815809,Sub-Saharan Africa,Low income
MYS,Malaysia,Asia,2021,57849311.0,75.62,2637279.0,30883.0,33938216,77708.2389952377,909.9771184201314,4.37382412,East Asia & Pacific,Upper middle income
MDV,Maldives,Asia,2021,790154.0,70.15,81220.0,213.0,523798,155059.77495141258,406.64530983317997,10.09611702,South Asia,Upper middle income
MLI,Mali,Africa,2021,1057653.0,1.74,13437.0,403.0,22593598,594.7259927347561,17.836911146245942,3.46649742,Sub-Saharan Africa,Low income
MLT,Malta,Europe,2021,1072274.0,81.73,34820.0,266.0,533293,65292.43774060413,498.78772082138715,10.36362457,Middle East & North Africa,High income
MHL,Marshall Islands,Oceania,2021,,,0.0,0.0,41593,0.0,0.0,12.54099083,East Asia & Pacific,Upper middle income
MTQ,Martinique,North America,2021,,,41756.0,733.0,367512,113618.05873005508,1994.4926968371103,,,
MRT,Mauritania,Africa,2021,1937226.0,16.2,26937.0,525.0,4736146,5687.535814985433,110.8496233013087,3.78022528,Sub-Saharan Africa,Lower middle income
MUS,Mauritius,Africa,2021,2036896.0,70.02,89563.0,752.0,1299478,68922.29033504223,578.6939063223848,6.6160841,Sub-Saharan Africa,Upper middle income
MYT,Mayotte,Africa,2021,,,16396.0,131.0,326113,50277.051206177,401.7012507934366,,,
MEX,Mexico,North America,2021,148814260.0,57.08,2548565.0,159365.0,127504120,19988.099208088333,1249.881180310095,5.89244318,Latin America & Caribbean,Upper middle income
FSM,Micronesia (country),Oceania,2021,,,0.0,0.0,114178,0.0,0.0,11.41321754,East Asia & Pacific,Lower middle income
MDA,Moldova,Europe,2021,1776513.0,30.01,233353.0,7224.0,3272993,71296.51667449334,2207.1541246803763,7.7490406,Europe & Central Asia,Upper middle income
MCO,Monaco,Europe,2021,65140.0,70.34,3960.0,35.0,36491,108519.90901866213,959.1406100134279,3.67252064,Europe & Central Asia,High income
MNG,Mongolia,Asia,2021,5340605.0,63.66,689829.0,1980.0,3398373,202988.018089833,582.6317476039269,7.21042728,East Asia & Pacific,Upper middle income
MNE,Montenegro,Europe,2021,634517.0,43.51,122800.0,1733.0,627082,195827.65890266345,2763.5939159471964,10.55253506,Europe & Central Asia,Upper middle income
MSR,Montserrat,North America,2021,3020.0,33.36,32.0,0.0,4413,7251.302968502153,0.0,,,
MAR,Morocco,Africa,2021,50265580.0,61.39,525025.0,7623.0,37457976,14016.373975999131,203.50805927154204,5.522717,Middle East & North Africa,Lower middle income
