iso_code,location,continent,year,total_vaccinations,fully_vaccinated_per_hundred,new_cases,new_deaths,population,cases_per_million,deaths_per_million,health_spending_pct_gdp,region,income_group,vaccination_percentile,spending_percentile,mortality_percentile,exploratory_equity_index,rank
HND,Honduras,North America,2022,16788825.0,55.19,84612.0,634.0,10432858,8110.145848817266,60.76954176889976,8.28209972,Latin America & Caribbean,Lower middle income,0.5108695652173914,0.7119565217391305,0.5760869565217391,0.5807065217391305,60
BGD,Bangladesh,Asia,2022,334842984.0,73.41,453771.0,1379.0,171186368,2650.742610533101,8.05554797447423,2.39038587,South Asia,Lower middle income,0.7445652173913043,0.02717391304347826,0.7880434782608696,0.5782608695652174,61
USA,United States,North America,2022,666952241.0,69.15,47140633.0,267389.0,338289856,139349.82726765535,790.4138869597083,16.49613953,North America,High income,0.6902173913043478,0.9836956521739131,0.07065217391304346,0.5777173913043478,62
BRN,Brunei,Asia,2022,1283392.0,99.32,253168.0,87.0,449002,563846.0407748742,193.7630567347139,1.81768215,East Asia & Pacific,High income,0.9891304347826086,0.005434782608695652,0.42391304347826086,0.5736413043478261,63
THA,Thailand,Asia,2022,142635014.0,74.6,2511838.0,12014.0,71697024,35034.0622227221,167.5662298061353,5.35470581,East Asia & Pacific,Upper middle income,0.7608695652173914,0.3858695652173913,0.4402173913043478,0.5709239130434782,64
TKM,Turkmenistan,Asia,2022,8286809.0,45.41,0.0,0.0,6430777,0.0,0.0,5.37103748,Europe & Central Asia,Upper middle income,0.3858695652173913,0.3967391304347826,0.9864130434782609,0.5687500000000001,65
SAU,Saudi Arabia,Asia,2022,60953969.0,66.47,274360.0,638.0,36408824,7535.535890969727,17.523224589731324,4.62462378,Middle East & North Africa,High income,0.625,0.30434782608695654,0.7010869565217391,0.5676630434782609,66
MYS,Malaysia,Asia,2022,72357376.0,81.14,2282127.0,5501.0,33938216,67243.57579667712,162.08866134861066,3.90591931,East Asia & Pacific,Upper middle income,0.8586956521739131,0.17391304347826086,0.45108695652173914,0.5652173913043478,67
IRL,Ireland,Europe,2022,11109230.0,80.88,993671.0,2383.0,5023108,197819.95529461044,474.4074783978366,6.11978531,Europe & Central Asia,High income,0.8532608695652174,0.46195652173913043,0.21739130434782605,0.5646739130434782,68
NOR,Norway,Europe,2022,12145560.0,74.61,1099234.0,3410.0,5434324,202276.12486852088,627.4929503651236,7.94803333,Europe & Central Asia,High income,0.7663043478260869,0.6956521739130435,0.14130434782608692,0.5611413043478262,69
AND,Andorra,Europe,2022,156242.0,66.99,25956.0,19.0,79843,325087.98517089785,237.96701025763065,7.53678846,Europe & Central Asia,High income,0.6467391304347826,0.6358695652173914,0.3695652173913043,0.5608695652173913,70
